Unnamed-0,2019,2018,2017
Amount computed using statutory rate,$841,"$2,122","$(1,078)"
Net change in valuation allowance for net deferred tax assets,(459),(367),"10,058"
AMT and other,—,(191),20
Foreign rate differential,664,22,(169)
Non-deductible items,(151),(276),(370)
State income tax,(370),50,(34)
Impact of tax reform on deferred taxes,—,"(4,901)",—
Research and development credits,"1,694",475,"2,494"
Foreign income tax,(494),—,—
"Stock compensation, net","1,539",—,—
Income tax benefit (provision),"$3,264","$(3,066)","$10,921"
