Unnamed-0,FY19,FY18,Growth,Growth-1
,$m (Reported),$m (Reported),(Reported),(CC)
Billings by Region:,,,,
- Americas,267.8,270.0,(0.8),(0.7)
- EMEA,395.3,395.1,0.1,0.9
- APJ,97.2,103.5,(6.1),(2.8)
,760.3,768.6,(1.1),(0.1)
Billings by Product:,,,,
– Network,345.9,353.4,(2.1),(1.1)
– Enduser,377.1,383.2,(1.6),(0.7)
– Other,37.3,32.0,16.6,17.1
,760.3,768.6,(1.1),(0.1)
Billings by Type:,,,,
– Subscription,644.6,644.2,0.1,1.0
– Hardware,105.7,113.7,(7.0),(6.1)
– Other,10.0,10.7,(6.5),(4.6)
,760.3,768.6,(1.1),(0.1)
