Unnamed-0,2019-m,2018-m,2017-m
Adjusted EBITDA,"14,139","14,737","14,149"
"Depreciation, amortisation and loss on disposal of fixed assets","(9,665)","(9,910)","(10,179)"
Share of adjusted results in equity accounted associates and joint ventures1,(291),389,164
Adjusted operating profit,"4,183","5,216","4,134"
Impairment losses,"(3,119)",–,–
Restructuring costs,(486),(156),(415)
Amortisation of acquired customer based and brand intangible assets,(583),(974),"(1,046)"
Other (expense)/income,(262),213,"1,052"
Operating (loss)/profit (IAS 18 basis),(267),"4,299","3,725"
Impact of adoption of IFRS 152,(684),,
Operating loss (IFRS 15 basis),(951),,
