Unnamed-0,Unnamed-1,Unnamed-2,Fiscal-2019,Unnamed-4
,Probe Cards,Systems,Corporate and Other,Total
Revenues,"$491,363","$98,101",$—,"$589,464"
Gross profit,"$211,382","$50,927","$(24,813)","$237,496"
Gross margin,43.0 %,51.9 %,— %,40.3 %
,,,Fiscal 2018,
,Probe Cards,Systems,Corporate and Other,Total
Revenues,"$434,269","$95,406",$—,"$529,675"
Gross profit,"$187,320","$47,074","$(24,055)","$210,339"
Gross margin,43.1 %,49.3 %,— %,39.7 %
,,,Fiscal 2017,
,Probe Cards,Systems,Corporate and Other,Total
Revenues,"$454,794","$93,647",$—,"$548,441"
Gross profit,"$195,903","$46,647","$(26,953)","$215,597"
Gross margin,43.1 %,49.8%,— %,39.3 %
